Time,System Production (W)
04/01/2022 00:00,"0"
04/01/2022 00:15,"0"
04/01/2022 00:30,"0"
04/01/2022 00:45,"0"
04/01/2022 01:00,"0"
04/01/2022 01:15,"0"
04/01/2022 01:30,"0"
04/01/2022 01:45,"0"
04/01/2022 02:00,"0"
04/01/2022 02:15,"0"
04/01/2022 02:30,"0"
04/01/2022 02:45,"0"
04/01/2022 03:00,"0"
04/01/2022 03:15,"0"
04/01/2022 03:30,"0"
04/01/2022 03:45,"0"
04/01/2022 04:00,"0"
04/01/2022 04:15,"0"
04/01/2022 04:30,"0"
04/01/2022 04:45,"0"
04/01/2022 05:00,"0"
04/01/2022 05:15,"0"
04/01/2022 05:30,"0"
04/01/2022 05:45,"0"
04/01/2022 06:00,"0"
04/01/2022 06:15,"559.3333"
04/01/2022 06:30,"1879.6666"
04/01/2022 06:45,"2854.6667"
04/01/2022 07:00,"4684"
04/01/2022 07:15,"11241.333"
04/01/2022 07:30,"19001.668"
04/01/2022 07:45,"25243"
04/01/2022 08:00,"27808.668"
04/01/2022 08:15,"35708"
04/01/2022 08:30,"41255"
04/01/2022 08:45,"41789.668"
04/01/2022 09:00,"49938.0039"
04/01/2022 09:15,"53522.6641"
04/01/2022 09:30,"56527.3359"
04/01/2022 09:45,"58767.6641"
04/01/2022 10:00,"57245.3359"
04/01/2022 10:15,"64856.6641"
04/01/2022 10:30,"58461.6641"
04/01/2022 10:45,"53797.3359"
04/01/2022 11:00,"73789.6719"
04/01/2022 11:15,"74153.3359"
04/01/2022 11:30,"75139"
04/01/2022 11:45,"72348.3281"
04/01/2022 12:00,"59378"
04/01/2022 12:15,"42625.332"
04/01/2022 12:30,"59777.6641"
04/01/2022 12:45,"55405"
04/01/2022 13:00,"71725.3281"
04/01/2022 13:15,"70581.6641"
04/01/2022 13:30,"69788.6641"
04/01/2022 13:45,"67994.6719"
04/01/2022 14:00,"67702"
04/01/2022 14:15,"65219.6719"
04/01/2022 14:30,"54337.668"
04/01/2022 14:45,"52187.3359"
04/01/2022 15:00,"59201.3281"
04/01/2022 15:15,"54779.6641"
04/01/2022 15:30,"48898.3359"
04/01/2022 15:45,"44928"
04/01/2022 16:00,"40801"
04/01/2022 16:15,"33933.332"
04/01/2022 16:30,"28239.332"
04/01/2022 16:45,"24072.668"
04/01/2022 17:00,"19022.666"
04/01/2022 17:15,"13641"
04/01/2022 17:30,"11046"
04/01/2022 17:45,"7906"
04/01/2022 18:00,"2781.6667"
04/01/2022 18:15,"32.6667"
04/01/2022 18:30,"0"
04/01/2022 18:45,"0"
04/01/2022 19:00,"0"
04/01/2022 19:15,"0"
04/01/2022 19:30,"0"
04/01/2022 19:45,"0"
04/01/2022 20:00,"0"
04/01/2022 20:15,"0"
04/01/2022 20:30,"0"
04/01/2022 20:45,"0"
04/01/2022 21:00,"0"
04/01/2022 21:15,"0"
04/01/2022 21:30,"0"
04/01/2022 21:45,"0"
04/01/2022 22:00,"0"
04/01/2022 22:15,"0"
04/01/2022 22:30,"0"
04/01/2022 22:45,"0"
04/01/2022 23:00,"0"
04/01/2022 23:15,"0"
04/01/2022 23:30,"0"
04/01/2022 23:45,"0"
04/02/2022 00:00,"0"
04/02/2022 00:15,"0"
04/02/2022 00:30,"0"
04/02/2022 00:45,"0"
04/02/2022 01:00,"0"
04/02/2022 01:15,"0"
04/02/2022 01:30,"0"
04/02/2022 01:45,"0"
04/02/2022 02:00,"0"
04/02/2022 02:15,"0"
04/02/2022 02:30,"0"
04/02/2022 02:45,"0"
04/02/2022 03:00,"0"
04/02/2022 03:15,"0"
04/02/2022 03:30,"0"
04/02/2022 03:45,"0"
04/02/2022 04:00,"0"
04/02/2022 04:15,"0"
04/02/2022 04:30,"0"
04/02/2022 04:45,"0"
04/02/2022 05:00,"0"
04/02/2022 05:15,"0"
04/02/2022 05:30,"0"
04/02/2022 05:45,"0"
04/02/2022 06:00,"0"
04/02/2022 06:15,"772.3333"
04/02/2022 06:30,"3502.3335"
04/02/2022 06:45,"7896.667"
04/02/2022 07:00,"15096.666"
04/02/2022 07:15,"20060"
04/02/2022 07:30,"25873"
04/02/2022 07:45,"31522"
04/02/2022 08:00,"37948.6641"
04/02/2022 08:15,"41471"
04/02/2022 08:30,"49126"
04/02/2022 08:45,"53723.6641"
04/02/2022 09:00,"57552.332"
04/02/2022 09:15,"59976"
04/02/2022 09:30,"63390"
04/02/2022 09:45,"64392"
04/02/2022 10:00,"48000"
04/02/2022 10:15,"69800.6719"
04/02/2022 10:30,"72062.6641"
04/02/2022 10:45,"78108.6641"
04/02/2022 11:00,"71793.6641"
04/02/2022 11:15,"77419.3281"
04/02/2022 11:30,"78584"
04/02/2022 11:45,"79247.3281"
04/02/2022 12:00,"80430"
04/02/2022 12:15,"79530"
04/02/2022 12:30,"80636.3281"
04/02/2022 12:45,"65321"
04/02/2022 13:00,"52291"
04/02/2022 13:15,"77229"
04/02/2022 13:30,"65979.6641"
04/02/2022 13:45,"44331.6641"
04/02/2022 14:00,"47856.0039"
04/02/2022 14:15,"49061.668"
04/02/2022 14:30,"38101"
04/02/2022 14:45,"47208"
04/02/2022 15:00,"41755"
04/02/2022 15:15,"35673.332"
04/02/2022 15:30,"34619.332"
04/02/2022 15:45,"29244.6641"
04/02/2022 16:00,"23464"
04/02/2022 16:15,"15266.666"
04/02/2022 16:30,"11775.667"
04/02/2022 16:45,"10590"
04/02/2022 17:00,"8333.666"
04/02/2022 17:15,"5157.6665"
04/02/2022 17:30,"3043.6665"
04/02/2022 17:45,"2124"
04/02/2022 18:00,"861"
04/02/2022 18:15,"62"
04/02/2022 18:30,"0"
04/02/2022 18:45,"0"
04/02/2022 19:00,"0"
04/02/2022 19:15,"0"
04/02/2022 19:30,"0"
04/02/2022 19:45,"0"
04/02/2022 20:00,"0"
04/02/2022 20:15,"0"
04/02/2022 20:30,"0"
04/02/2022 20:45,"0"
04/02/2022 21:00,"0"
04/02/2022 21:15,"0"
04/02/2022 21:30,"0"
04/02/2022 21:45,"0"
04/02/2022 22:00,"0"
04/02/2022 22:15,"0"
04/02/2022 22:30,"0"
04/02/2022 22:45,"0"
04/02/2022 23:00,"0"
04/02/2022 23:15,"0"
04/02/2022 23:30,"0"
04/02/2022 23:45,"0"
04/03/2022 00:00,"0"
04/03/2022 00:15,"0"
04/03/2022 00:30,"0"
04/03/2022 00:45,"0"
04/03/2022 01:00,"0"
04/03/2022 01:15,"0"
04/03/2022 01:30,"0"
04/03/2022 01:45,"0"
04/03/2022 02:00,"0"
04/03/2022 02:15,"0"
04/03/2022 02:30,"0"
04/03/2022 02:45,"0"
04/03/2022 03:00,"0"
04/03/2022 03:15,"0"
04/03/2022 03:30,"0"
04/03/2022 03:45,"0"
04/03/2022 04:00,"0"
04/03/2022 04:15,"0"
04/03/2022 04:30,"0"
04/03/2022 04:45,"0"
04/03/2022 05:00,"0"
04/03/2022 05:15,"0"
04/03/2022 05:30,"0"
04/03/2022 05:45,"0"
04/03/2022 06:00,"0"
04/03/2022 06:15,"0"
04/03/2022 06:30,"52"
04/03/2022 06:45,"411"
04/03/2022 07:00,"384"
04/03/2022 07:15,"766"
04/03/2022 07:30,"2317.6667"
04/03/2022 07:45,"3668.6665"
04/03/2022 08:00,"5405"
